Adarsh Park Heights Phase 1 | Adarsh Developers | PRM/KA/RERA/1251/446/PR | Gunjur, Varthur Road | Active
T G Epitome |  | PR/KN/170731/000521 | Sarjapur | —
Vedant Vayun |  | PR/KN/170731/000296 | Begur Road | —
Bren Starlight |  | PR/KN/170729/000368 | Old Madras Road | —
Orchids |  | PR/KN/170823/001300 | Thanisandra Main Road | —
Century Central |  | PR/KN/170729/000351 | Kanakapura Road | —
Bren Champions Square |  | PR/KN/170730/000395 | Sarjapur Main Road | —
Janaadhar Shubha II Cluster 2 |  | PR/KN/170729/000337 | Attibele Hobli | —
GM Global Techies Town Tower C |  | PR/KN/170814/001289 | Electronic City Phase I | —
Experia |  | PR/KN/170730/000359 | J P Nagar 7th Phase | —
Five Rings |  | PR/KN/170922/002143 | Sarjapur Main Road | —
Neeraja Sarovar |  | PR/KN/170803/000957 | K R Puram | —
Taapasi Summerbay |  | PR/KN/170823/001442 | Yelahanka | —
Shriline Avanti |  | PR/KN/170831/001664 | Electronic City | —
Navami Funique |  | PR/KN/170911/001532 | Electronic City | —
VSPL Pinnacle |  | PR/KN/170831/001908 | Sanjeevini Nagar | —
NVT Life Square |  | PR/KN/170731/000325 | Chansandra | —
The Ripple |  | PR/KN/170814/001303 | Gunjur | —
C-Square |  | PR/KN/170729/000341 | Hosur Main Road | —
Bren Imperia |  | PR/KN/170729/000390 | Harlur | —
Shriram Southern Crest |  | PR/KN/170801/000364 | J P Nagar | —
Arge Urban Bloom |  | PR/KN/170731/000318 | Yeshwanthpur | —
KBR Elite |  | PR/KN/170823/001417 | Hebbal | —
Century Breeze |  | PR/KN/170729/000324 | Jakkur | —
The Gran Carmen Address |  | PR/KN/170731/000379 | Sarjapur Road | —
Adarsh Citrine |  | PR/KN/170729/000332 | J P Nagar 7th Phase | —
Sobha Morzaria Grandeur 2 (W1) |  | PR/KN/170730/000412 | Koramangala | —
Aryan Golden Arena |  | PR/KN/170820/001288 | Sarjapur | —
JR Garden Retreat 2 |  | PR/KN/170730/000414 | Hosur Road | —
Dhammanagi Florence |  | PR/KN/170801/000960 | Devanahalli | —
Purva Westend Phase 1 |  | PR/KN/170729/000394 | Hosur Main Road | —
Pride Enchanta Phase II |  | PR/KN/170731/000410 | Mysore Road | —
Pride Palatia Phase II |  | PR/KN/170731/000404 | Hennur Road | —
Pride Palatia Phase I |  | PR/KN/170731/000463 | Hennur Road | —
Purva Sunflower |  | PR/KN/170730/000403 | Magadi Road | —
Brigade Buena Vista |  | PR/KN/170730/000405 | Old Madras Road | —
